Date,ppo_strategy,a2c_strategy,ddpg_strategy,ensemble_strategy,SSE 50 Index,turbulence
2018/1/2,,,,,,40.601317
2018/1/3,0.9999843,1.0000187,1.001648859,1.001648859,1.001556623,42.84960329
2018/1/4,0.99999335,1.000057101,1.001854582,1.001854582,1.003694703,49.63280932
2018/1/5,1.00004015,1.001747924,1.005081368,1.005081368,1.008121752,50.07593262
2018/1/8,1.000101552,1.006835291,1.015093135,1.015093135,1.013418047,54.4947052
2018/1/9,1.000144756,1.007321325,1.016609243,1.016609243,1.020828906,54.38589975
2018/1/10,1.000085748,1.006743172,1.01135436,1.01135436,1.029852288,47.00553774
2018/1/11,1.000101649,1.007571197,1.018604448,1.018604448,1.030361342,38.01205939
2018/1/12,1.000406581,1.00844738,1.017861875,1.017861875,1.037770379,41.5825334
2018/1/15,1.000438394,1.008953264,1.012457023,1.012457023,1.048156967,48.07739032
2018/1/16,1.000728799,1.008607205,0.99987732,0.99987732,1.053332212,48.66750347
2018/1/17,1.000803354,1.008980633,1.001471453,1.001471453,1.057568079,43.49218561
2018/1/18,1.000915496,1.009674308,1.00155117,1.00155117,1.068008952,57.60259061
2018/1/19,1.000644824,1.011284789,1.007359407,1.007359407,1.071883355,64.61561499
2018/1/22,1.00113402,1.013369434,1.009389039,1.009389039,1.076183751,45.8586569
2018/1/23,1.001756393,1.014156227,1.007566458,1.007566458,1.092058127,50.9961747
2018/1/24,1.001256421,1.011371275,1.006665036,1.006665036,1.093374026,51.75929574
2018/1/25,1.001775438,1.013841245,1.00957883,1.00957883,1.0855106,55.49865152
2018/1/26,1.001120158,1.007733183,1.004139485,1.004139485,1.09077695,48.86773864
2018/1/29,1.000197397,1.006587645,1.001643393,1.001643393,1.07287138,57.48696917
2018/1/30,1.0002134,1.010518757,1.005366263,1.005366263,1.05857742,44.47556067
2018/1/31,1.00059711,1.011334334,1.008089284,1.008089284,1.071543655,45.5822761
2018/2/1,1.001666924,1.012660386,1.011525163,1.011525163,1.079931124,49.05623843
2018/2/2,1.002440397,1.012179209,1.013189225,1.013189225,1.0828229,54.44438772
2018/2/5,0.99985475,1.002975669,1.00675134,1.00675134,1.093720398,74.53402407
2018/2/6,0.998445377,0.994261047,0.998265589,0.998265589,1.071769664,75.94347466
2018/2/7,0.995964362,0.989098953,0.99011676,0.99011676,1.041553953,48.67897044
2018/2/8,0.991563075,0.978927614,0.979880331,0.979880331,1.012758827,36.92386559
2018/2/9,0.991483948,0.980141432,0.979339737,0.979339737,0.966066141,28.51241005
2018/2/12,0.99187492,0.98312279,0.982713757,0.982713757,0.964410334,27.27756978
2018/2/13,0.991754819,0.984428909,0.98507386,0.98507386,0.980742503,28.54545737
2018/2/14,0.993145443,0.988953304,0.988878094,0.988878094,0.987298763,31.59126069
2018/2/22,0.993672386,0.991214076,0.990186757,0.990186757,1.007958694,40.56081498
2018/2/23,0.994881355,0.994888841,0.994339356,0.994339356,1.016653033,39.09979552
2018/2/26,0.9938102,0.989473483,0.986070648,0.986070648,1.022364972,42.97354271
2018/2/27,0.992437055,0.983350368,0.977669951,0.977669951,1.00631375,28.19228383
2018/2/28,0.992663139,0.986821921,0.982808948,0.982808948,0.989663813,26.63293021
2018/3/1,0.991888405,0.982898995,0.977596042,0.977596042,0.994006462,29.10805047
2018/3/2,0.991954961,0.984497493,0.971214013,0.971214013,0.984684599,26.43673244
2018/3/5,0.993249386,0.990188848,0.973357126,0.973357126,0.984618428,20.86085159
2018/3/6,0.992889357,0.990784264,0.970788925,0.970788925,0.994411115,22.55189012
2018/3/7,0.993143386,0.99738313,0.97951909,0.97951909,0.989486426,19.0096104
2018/3/8,0.993315008,1.000280583,0.982991118,0.982991118,0.996397892,22.37834819
2018/3/9,0.993894585,1.000601772,0.980505007,0.980505007,0.999816289,23.18916439
2018/3/12,0.99274363,0.994079417,0.96714109,0.96714109,1.000291376,30.03488875
2018/3/13,0.992404968,0.993750085,0.982839825,0.982839825,0.991283258,32.72140878
2018/3/14,0.992869873,1.002863091,1.002855842,1.002855842,0.987142931,39.05884976
2018/3/15,0.992101207,0.997284941,0.994870205,0.994870205,0.99527321,42.68171073
2018/3/16,0.992840907,1.012284438,1.008855548,1.008855548,0.9869359,43.0160262
2018/3/19,0.993273064,1.014471803,1.003853728,1.003853728,0.996054651,46.30410417
2018/3/20,0.993223301,1.011736605,0.997847217,0.997847217,0.99850981,49.16853001
2018/3/21,0.992688121,1.004841881,0.982889497,0.982889497,0.994998418,40.99809902
2018/3/22,0.989710906,0.992807794,0.963386062,0.963386062,0.985539553,40.06080478
2018/3/23,0.988077787,0.990439887,0.957684194,0.957684194,0.959685398,42.41595986
2018/3/26,0.988723611,0.988703643,0.958228889,0.958228889,0.941602122,62.26390649
2018/3/27,0.986252452,0.970387964,0.93105373,0.93105373,0.944599717,60.12532739
2018/3/28,0.988300534,0.974922641,0.941137485,0.941137485,0.926460781,44.95249502
2018/3/29,0.987451437,0.982291739,0.936271077,0.936271077,0.941575513,39.52979931
2018/3/30,0.987486788,0.977616552,0.936133952,0.936133952,0.935855631,60.2164817
2018/4/2,0.98681732,0.974458782,0.93468679,0.93468679,0.932149721,50.27129222
2018/4/3,0.986585189,0.974822236,0.941662605,0.941662605,0.927301731,53.41445513
2018/4/4,0.987839564,0.973726148,0.948638475,0.948638475,0.92905411,42.23121065
2018/4/9,0.990933637,0.991826496,0.96789448,0.96789448,0.933648071,37.02648414
2018/4/10,0.990968022,0.994266112,0.967038051,0.967038051,0.956019264,35.91045882
2018/4/11,0.989990222,0.989882079,0.954891538,0.954891538,0.957578363,38.6385302
2018/4/12,0.987962344,0.970937572,0.944158929,0.944158929,0.9453256,44.13278055
2018/4/13,0.983556225,0.962152956,0.927140983,0.927140983,0.937314205,28.81792764
2018/4/16,0.983426008,0.953269983,0.917986701,0.917986701,0.916105271,41.65081814
2018/4/17,0.985523792,0.961204912,0.919221495,0.919221495,0.906134843,35.84120644
2018/4/18,0.98653114,0.967845731,0.92717587,0.92717587,0.912345763,40.5949378
2018/4/19,0.983573012,0.966888861,0.923843658,0.923843658,0.922241038,38.89157126
2018/4/20,0.985127504,0.971441957,0.927473169,0.927473169,0.910147967,42.87887776
2018/4/23,0.988626602,0.980948655,0.937672902,0.937672902,0.916178499,42.66308662
2018/4/24,0.986245445,0.986867684,0.937737601,0.937737601,0.93609436,39.47398241
2018/4/25,0.984134307,0.97196999,0.932788853,0.932788853,0.929264167,48.0093091
2018/4/26,0.986688127,0.976796915,0.937795574,0.937795574,0.916558871,35.6724993
2018/4/27,0.986567078,0.971537709,0.939050347,0.939050347,0.912268238,35.50396496
2018/5/2,0.9891451,0.977380284,0.939127162,0.939127162,0.911988907,29.9306492
2018/5/3,0.987636082,0.968084258,0.934919589,0.934919589,0.915854543,30.81097883
2018/5/4,0.990671582,0.986429554,0.942189322,0.942189322,0.909796783,32.66696083
2018/5/7,0.992564001,1.001859447,0.953979333,0.953979333,0.922686902,33.62479622
2018/5/8,0.992421739,1.001089333,0.95342247,0.95342247,0.936105568,32.29997266
2018/5/9,0.993512529,1.025095423,0.960121437,0.960121437,0.934166338,32.70828932
2018/5/10,0.99176774,1.0161794,0.951051111,0.951051111,0.93834713,47.58544582
2018/5/11,0.992221879,1.033701238,0.959760013,0.959760013,0.936736841,36.19359117
2018/5/14,0.99198438,1.038032819,0.962113459,0.962113459,0.946644629,33.56347205
2018/5/15,0.989114848,1.026041684,0.956099672,0.956099672,0.945714877,38.79172864
2018/5/16,0.988966605,1.018833676,0.952176743,0.952176743,0.934009053,39.50049535
2018/5/17,0.992831932,1.035914383,0.962930204,0.962930204,0.928541035,34.39535999
2018/5/18,0.992507938,1.032936148,0.962025806,0.962025806,0.942175121,38.51202833
2018/5/21,0.991047653,1.040410626,0.960653282,0.960653282,0.943986701,35.92106813
2018/5/22,0.986713108,1.031238575,0.94747805,0.94747805,0.937865923,47.14841514
2018/5/23,0.985915833,1.024482361,0.943376423,0.943376423,0.922633511,46.70514152
2018/5/24,0.985056788,1.03788656,0.949410714,0.949410714,0.916439196,46.34117884
2018/5/25,0.98374216,1.050198713,0.952910081,0.952910081,0.914931769,57.13134801
2018/5/28,0.98358467,1.028901331,0.945008223,0.945008223,0.919025442,71.98994195
2018/5/29,0.976319353,1.019024815,0.931891319,0.931891319,0.915657961,46.43316481
2018/5/30,0.980274279,1.034674506,0.94575476,0.94575476,0.895888899,55.31679348
2018/5/31,0.980560362,1.022756641,0.940977989,0.940977989,0.913900597,54.74061602
2018/6/1,0.983133477,1.041191448,0.960078638,0.960078638,0.910082782,44.40420188
2018/6/4,0.982957509,1.066092108,0.970393103,0.970393103,0.926375209,43.25252783
2018/6/5,0.980403173,1.071786486,0.970696508,0.970696508,0.930651918,61.20339701
2018/6/6,0.982529253,1.073793091,0.970363483,0.970363483,0.925551379,75.06351222
2018/6/7,0.977575241,1.055433976,0.957041199,0.957041199,0.926602249,69.07579144
2018/6/8,0.975830929,1.040225913,0.956122121,0.956122121,0.911765851,67.59556281
2018/6/11,0.976928312,1.050742776,0.977288336,0.977288336,0.914628302,50.0826469
2018/6/12,0.975997516,1.040570824,0.970900078,0.970900078,0.924011567,51.71762459
2018/6/13,0.976192015,1.035974779,0.965845331,0.965845331,0.918485,44.23689948
2018/6/14,0.975152999,1.036957814,0.969244998,0.969244998,0.918371892,41.47873208
2018/6/15,0.97133822,1.031464949,0.950967626,0.950967626,0.917229676,37.53881865
2018/6/19,0.96882754,1.044312297,0.957501012,0.957501012,0.893784751,36.93208588
2018/6/20,0.96377603,1.033309296,0.954148935,0.954148935,0.89328553,46.38378801
2018/6/21,0.962557656,1.037411161,0.959871079,0.959871079,0.886658484,43.23044341
2018/6/22,0.957739467,1.026432957,0.944629564,0.944629564,0.888259285,46.56755639
2018/6/25,0.956318025,1.020226548,0.928593217,0.928593217,0.872015745,52.31807238
2018/6/26,0.957123631,0.998133319,0.905238445,0.905238445,0.861790224,57.41095189
2018/6/27,0.958814313,0.972911429,0.892249784,0.892249784,0.843198616,49.34740778
2018/6/28,0.963141479,1.000277626,0.91366857,0.91366857,0.833757113,37.11665035
2018/6/29,0.954006518,0.976948711,0.88691686,0.88691686,0.852574833,41.87160877
2018/7/2,0.957493345,0.966486543,0.88508907,0.88508907,0.820418206,45.34983137
2018/7/3,0.956088863,0.94729406,0.874997795,0.874997795,0.821311998,36.81656483
2018/7/4,0.957416985,0.942373446,0.879046393,0.879046393,0.814246651,29.69887711
2018/7/5,0.958888685,0.957066248,0.88470067,0.88470067,0.816285409,23.68413401
2018/7/6,0.96417228,0.984684133,0.904494824,0.904494824,0.826001567,24.88644559
2018/7/9,0.964060127,0.985772352,0.907247865,0.907247865,0.849609142,25.23802653
2018/7/10,0.957648362,0.97425651,0.899870456,0.899870456,0.849590195,26.80348176
2018/7/11,0.957648362,0.97425651,0.899870456,0.899870456,0.836198998,26.2391142
2018/7/12,0.963334962,1.0002133,0.914607269,0.914607269,0.850757302,28.29334821
2018/7/13,0.963140893,0.992107915,0.905400254,0.905400254,0.851527225,28.65648276
2018/7/16,0.95706091,0.978044554,0.898815033,0.898815033,0.841866933,29.27692024
2018/7/17,0.954985471,0.984432059,0.895392413,0.895392413,0.835568483,26.94308768
2018/7/18,0.957894754,0.986338438,0.905082989,0.905082989,0.832238716,29.0100446
2018/7/19,0.968423658,1.014225662,0.929845173,0.929845173,0.834096468,25.45398835
2018/7/20,0.96388376,1.003085581,0.935734266,0.935734266,0.857337594,20.82143923
2018/7/23,0.980642215,1.012278333,0.951671307,0.951671307,0.868699144,18.68985306
2018/7/24,0.979032718,1.021221419,0.956922673,0.956922673,0.881340668,28.39121037
2018/7/25,0.968675225,1.008474253,0.945943124,0.945943124,0.881376274,26.08347333
2018/7/26,0.970522318,1.007832156,0.947746163,0.947746163,0.870135705,21.06257593
2018/7/27,0.955897887,1.007176468,0.958914211,0.958914211,0.868107399,23.07596223
2018/7/30,0.96191035,1.004501122,0.95478043,0.95478043,0.873682543,29.27801613
2018/7/31,0.945099327,0.987381093,0.93793173,0.93793173,0.874994524,23.86947542
2018/8/1,0.923344482,0.981248848,0.936022282,0.936022282,0.856127573,21.07535448
2018/8/2,0.90710701,0.962112375,0.919800964,0.919800964,0.838961088,26.59034094
2018/8/3,0.894500683,0.938916533,0.914568138,0.914568138,0.829744184,22.2027395
2018/8/6,0.918051283,0.966635245,0.943009362,0.943009362,0.827349085,23.33287646
2018/8/7,0.905841245,0.955483226,0.936198097,0.936198097,0.85252951,28.23550406
2018/8/8,0.923738942,0.988207666,0.951229984,0.951229984,0.841259374,29.55423928
2018/8/9,0.919981562,0.99815169,0.955030963,0.955030963,0.861068489,26.00749742
2018/8/10,0.911046885,0.990648339,0.94891142,0.94891142,0.860583261,28.3312611
2018/8/13,0.912283037,0.991427387,0.94879556,0.94879556,0.85209255,28.59020189
2018/8/14,0.889357529,0.958387409,0.918745732,0.918745732,0.848892392,28.86851976
2018/8/15,0.878555247,0.958583926,0.91780639,0.91780639,0.828100409,21.75762652
2018/8/16,0.864593398,0.941279494,0.898924038,0.898924038,0.826877161,23.89235873
2018/8/17,0.876434556,0.942719202,0.909446191,0.909446191,0.816222723,19.64155572
2018/8/20,0.899838809,0.967920634,0.927374781,0.927374781,0.828240332,22.35791174
2018/8/21,0.896140892,0.963083983,0.925716618,0.925716618,0.843110868,23.41636531
2018/8/22,0.90081428,0.972351511,0.929964912,0.929964912,0.842344349,23.26751751
2018/8/23,0.897610681,0.980612649,0.9364507,0.9364507,0.846096362,22.65345474
2018/8/24,0.921947447,1.003130313,0.95805603,0.95805603,0.849854564,23.8774851
2018/8/27,0.915644351,1.001185135,0.950789607,0.950789607,0.867161282,24.92726381
2018/8/28,0.918227414,1.00006617,0.950753858,0.950753858,0.863312766,24.49211204
2018/8/29,0.906776691,0.978135414,0.932336625,0.932336625,0.860677563,24.63272749
2018/8/30,0.892744285,0.973977709,0.929567165,0.929567165,0.852333513,21.07005948
2018/8/31,0.895635396,0.97017153,0.925723657,0.925723657,0.850706344,20.74069952
2018/9/3,0.905107195,0.97840352,0.933663978,0.933663978,0.847750829,19.53370594
2018/9/4,0.884789632,0.955120724,0.908449353,0.908449353,0.859631575,20.45787816
2018/9/5,0.873319218,0.946382021,0.900691747,0.900691747,0.839276414,18.60118492
2018/9/6,0.879439088,0.960046161,0.910205928,0.910205928,0.830613841,17.3829258
2018/9/7,0.869574449,0.94545217,0.886267442,0.886267442,0.838054954,18.57091232
2018/9/10,0.869614623,0.942097321,0.872679209,0.872679209,0.829717574,17.44271736
2018/9/11,0.857430211,0.927181046,0.861233762,0.861233762,0.824678264,20.69222931
2018/9/12,0.862563434,0.922522747,0.857391568,0.857391568,0.818703324,19.07933942
2018/9/13,0.866928501,0.916762825,0.853168645,0.853168645,0.830365864,21.71052192
2018/9/14,0.8638844,0.898717107,0.839468185,0.839468185,0.833841365,19.41729206
2018/9/17,0.88449534,0.922135943,0.872498152,0.872498152,0.825060871,20.16448506
2018/9/18,0.899524855,0.935449203,0.882565262,0.882565262,0.845305778,20.59640825
2018/9/19,0.897483106,0.936856318,0.889224353,0.889224353,0.855038336,20.32344839
2018/9/20,0.927128584,0.974287732,0.917853887,0.917853887,0.855157013,20.61096695
2018/9/21,0.921388459,0.966385075,0.911959605,0.911959605,0.884785321,26.25676987
2018/9/25,0.94843744,0.988181431,0.928655601,0.928655601,0.87591135,21.26175872
2018/9/26,0.947016943,0.988230741,0.931460313,0.931460313,0.887935663,20.96838121
2018/9/27,0.954023131,0.996096728,0.934548118,0.934548118,0.885419755,21.05316425
2018/9/28,0.905057023,0.947254342,0.886137857,0.886137857,0.896152646,19.7229236
2018/10/8,0.909269099,0.945735063,0.881931463,0.881931463,0.854950702,19.5258568
2018/10/9,0.894690889,0.945597823,0.886872104,0.886872104,0.856614863,18.16712253
2018/10/10,0.861910393,0.908051839,0.84932696,0.84932696,0.857437559,20.87067431
2018/10/11,0.882731705,0.92807902,0.877043381,0.877043381,0.821836716,17.89621756
2018/10/12,0.875591445,0.920209045,0.865899574,0.865899574,0.840273618,23.1961254
2018/10/15,0.87786646,0.925369383,0.863045648,0.863045648,0.829392106,23.38428909
2018/10/16,0.879233058,0.927759331,0.868533092,0.868533092,0.830427918,24.47666146
2018/10/17,0.856194403,0.895113234,0.836611058,0.836611058,0.835145609,22.26354647
2018/10/18,0.887165122,0.92705967,0.861774283,0.861774283,0.814467662,19.19116656
2018/10/19,0.927270482,0.977231885,0.907565247,0.907565247,0.841026214,22.21254192
2018/10/22,0.883270228,0.950809226,0.8739232,0.8739232,0.873285119,19.80017317
2018/10/23,0.883916128,0.952817225,0.868027239,0.868027239,0.847383658,16.77402625
2018/10/24,0.878229336,0.954817144,0.85326397,0.85326397,0.851741777,19.3952035
2018/10/25,0.866747128,0.947482666,0.85212663,0.85212663,0.854358176,19.99896777
2018/10/26,0.817978329,0.910746634,0.828361046,0.828361046,0.848792485,23.02894839
2018/10/29,0.813156701,0.924362249,0.836217164,0.836217164,0.821518398,25.10750213
2018/10/30,0.833668696,0.945850739,0.86958551,0.86958551,0.830481721,31.85658641
2018/10/31,0.842460611,0.951041057,0.88121996,0.88121996,0.842676795,30.59166136
2018/11/1,0.877301648,0.99489681,0.920675071,0.920675071,0.845785091,25.98925166
2018/11/2,0.861146387,0.984598452,0.911933521,0.911933521,0.874184445,27.80581326
2018/11/5,0.85453136,0.98041502,0.909085091,0.909085091,0.863465581,29.08957576
2018/11/6,0.847640236,0.969863604,0.902029117,0.902029117,0.859370875,29.96264753
2018/11/7,0.848567986,0.975002191,0.906849037,0.906849037,0.853407795,28.06245247
2018/11/8,0.834344915,0.94984367,0.887151067,0.887151067,0.854667279,29.55774238
2018/11/9,0.834459204,0.955017502,0.896557587,0.896557587,0.836863712,23.28452701
2018/11/12,0.846514624,0.960292443,0.899263167,0.899263167,0.840561303,26.41731309
2018/11/13,0.832196609,0.946839306,0.892039586,0.892039586,0.846751389,22.03037712
2018/11/14,0.843370692,0.958571341,0.902136244,0.902136244,0.835410742,23.38926939
2018/11/15,0.842142532,0.952346556,0.881495189,0.881495189,0.845434149,23.20994849
2018/11/16,0.851514048,0.963789481,0.883841431,0.883841431,0.84622604,20.08237618
2018/11/19,0.834552847,0.944635953,0.870496124,0.870496124,0.856759737,21.91403979
2018/11/20,0.834387139,0.946348063,0.872590001,0.872590001,0.841188311,19.93005982
2018/11/21,0.831853036,0.941943189,0.868026406,0.868026406,0.842728914,21.11277507
2018/11/22,0.817981518,0.926495602,0.853143419,0.853143419,0.838041786,18.89764989
2018/11/23,0.816245056,0.930979567,0.857591743,0.857591743,0.824827745,18.74031575
2018/11/26,0.81376115,0.927749672,0.854830927,0.854830927,0.825754334,21.31940775
2018/11/27,0.824575354,0.941192413,0.866963875,0.866963875,0.823140308,20.91047771
2018/11/28,0.818202802,0.937211051,0.863318588,0.863318588,0.832367456,22.70741011
2018/11/29,0.829581058,0.947700311,0.874934234,0.874934234,0.825738725,22.9303437
2018/11/30,0.85970273,0.974881604,0.896344496,0.896344496,0.834743371,24.05554945
2018/12/3,0.86011724,0.975754555,0.891544359,0.891544359,0.855375113,24.2287181
2018/12/4,0.859160289,0.970183981,0.883751814,0.883751814,0.85815495,25.9660937
2018/12/5,0.838576677,0.944680403,0.855750288,0.855750288,0.853221253,24.82529979
2018/12/6,0.831412923,0.929617735,0.837418493,0.837418493,0.836959561,19.20751113
2018/12/7,0.825845844,0.925665144,0.834791168,0.834791168,0.83566398,15.2954682
2018/12/10,0.829884917,0.931654216,0.840355496,0.840355496,0.828060666,16.66904442
2018/12/11,0.831920461,0.930493509,0.838635165,0.838635165,0.830457381,16.66562
2018/12/12,0.843942264,0.942313826,0.857638862,0.857638862,0.833118369,14.55069071
2018/12/13,0.831786778,0.928333169,0.844992259,0.844992259,0.84500905,15.70187348
2018/12/14,0.833034532,0.928825421,0.844016824,0.844016824,0.833140234,13.88972162
2018/12/17,0.826270782,0.919227039,0.832531519,0.832531519,0.834021443,12.63638249
2018/12/18,0.81629222,0.901208448,0.821582103,0.821582103,0.824368783,11.00026384
2018/12/19,0.807912795,0.883711946,0.80641634,0.80641634,0.814632821,8.32308964
2018/12/20,0.796163674,0.866304234,0.785357606,0.785357606,0.802728457,8.638138799
2018/12/21,0.799254185,0.873003884,0.800459234,0.800459234,0.792835279,10.16763472
2018/12/24,0.791372821,0.863566869,0.791051186,0.791051186,0.793896773,9.721583665
2018/12/25,0.785811278,0.853850556,0.783919131,0.783919131,0.789805609,12.93674694
2018/12/26,0.783147946,0.851137981,0.781617386,0.781617386,0.784382385,18.31049763
2018/12/27,0.788583259,0.85790674,0.787112846,0.787112846,0.782491252,25.16194233
2018/12/28,0.778579779,0.842221363,0.777025698,0.777025698,0.788349957,25.53677474
2019/1/2,0.777806917,0.841760872,0.762103461,0.762103461,0.777930398,23.15794111
2019/1/3,0.797562446,0.864352634,0.78425696,0.78425696,0.780148616,21.14111118
2019/1/4,0.795340591,0.861356858,0.785196751,0.785196751,0.795758031,20.42759261
2019/1/7,0.791164892,0.855706477,0.785375176,0.785375176,0.795645508,19.75842897
2019/1/8,0.804967895,0.87039446,0.796989441,0.796989441,0.792500323,18.293692
2019/1/9,0.80368879,0.871964601,0.800823008,0.800823008,0.801971255,14.41165263
2019/1/10,0.811612028,0.882977713,0.805481771,0.805481771,0.801672671,13.29906628
2019/1/11,0.802192615,0.875123728,0.797863758,0.797863758,0.809458882,13.4390414
2019/1/14,0.818999168,0.89089347,0.817740254,0.817740254,0.801426894,13.6444607
2019/1/15,0.818999168,0.89089347,0.817740254,0.817740254,0.817665518,17.52445182
2019/1/16,0.824706057,0.896635169,0.829081453,0.829155287,0.818644707,14.3978026
2019/1/17,0.841842729,0.915189748,0.847149484,0.847911321,0.815251579,16.85089617
2019/1/18,0.853427081,0.925719927,0.852888459,0.853733663,0.831071154,19.27204896
2019/1/21,0.837852484,0.911718919,0.835610578,0.835660737,0.836270671,15.51575001
2019/1/22,0.83913677,0.91644268,0.84252513,0.84293512,0.825525782,15.93608221
2019/1/23,0.848790322,0.929667731,0.850339022,0.851045014,0.824087458,16.06935418
2019/1/24,0.860951029,0.944295094,0.859082819,0.860358662,0.829076849,14.36909466
2019/1/25,0.854318317,0.936381406,0.844693614,0.845046435,0.839417404,14.79720205
2019/1/28,0.861880257,0.945522952,0.859520944,0.86126554,0.83783118,19.03378737
2019/1/29,0.854164521,0.938876955,0.855273617,0.856550123,0.844318784,16.96646977
2019/1/30,0.874602386,0.960984907,0.871948984,0.875248179,0.838858603,15.22791335
2019/1/31,0.882357844,0.97149203,0.884974973,0.889566418,0.853798551,14.53186915
2019/2/1,0.894698888,0.978823062,0.895438051,0.901940327,0.859358809,13.83467201
2019/2/11,0.895784466,0.983412434,0.906542848,0.914378622,0.868926346,18.17579495
2019/2/12,0.918606266,1.005005589,0.928501934,0.939124283,0.870888748,18.62467062
2019/2/13,0.915740863,1.003135189,0.928250922,0.938938547,0.887194789,18.05606304
2019/2/14,0.893426949,0.977741675,0.906246015,0.914578816,0.885714626,18.71684422
2019/2/15,0.921537476,1.011079636,0.937386498,0.95054265,0.865484502,20.45381048
2019/2/18,0.927947059,1.012521575,0.935798239,0.949081337,0.887964747,20.48385876
2019/2/19,0.938578138,1.021910547,0.938161851,0.951576106,0.886656652,19.26760269
2019/2/20,0.931634992,1.016632641,0.936949706,0.948704818,0.889791936,16.72002721
2019/2/21,0.96110254,1.047126009,0.952282893,0.968697393,0.886030675,15.9826006
2019/2/22,1.021559243,1.109147663,0.988189182,1.014242896,0.901792905,21.69478927
2019/2/25,1.005026717,1.089869867,0.979904259,1.004932396,0.958389772,25.24878896
2019/2/26,1.014239955,1.097016782,0.979879467,1.006769193,0.939894357,23.6631188
2019/2/27,1.005539598,1.097194261,0.988921839,1.016856573,0.945545824,23.54863729
2019/2/28,1.052287931,1.139387382,1.013198572,1.051490503,0.943356725,25.06067589
2019/3/1,1.051450861,1.144919479,1.025659352,1.066054054,0.969311853,34.21629905
2019/3/4,1.04387001,1.136728224,1.021093889,1.060531749,0.973822307,31.22468682
2019/3/5,1.050984565,1.139861812,1.022590248,1.064119155,0.972543639,31.58362514
2019/3/6,1.03783577,1.115472071,1.003287657,1.039213231,0.976463973,32.62577011
2019/3/7,1.000811749,1.083641147,0.983323019,1.009587124,0.959077839,34.84535056
2019/3/8,1.013122833,1.091742964,0.98823243,1.017601272,0.923286259,34.91018859
2019/3/11,1.010098617,1.094203288,0.996271656,1.026080729,0.931195617,34.75513543
2019/3/12,1.005802016,1.094248369,0.989738997,1.021586115,0.935037326,30.00444971
2019/3/13,1.006026647,1.100337536,0.99421808,1.027464057,0.936477507,36.70055423
2019/3/14,1.016714396,1.117246764,1.011330535,1.050723544,0.93825512,38.27550164
2019/3/15,1.045266411,1.151165107,1.026828943,1.073725354,0.947425062,41.07426158
2019/3/18,1.036130798,1.137063406,1.019975004,1.062842458,0.971276832,44.84814659
2019/3/19,1.036528542,1.142921568,1.026949058,1.072969388,0.964989796,36.60327063
